,S1Temp,S2Temp,S3Temp,S1Light,S2Light,S3Light,PIR1,PIR2,Persons,Overcrowded,Slope_CO2,Parts of the day
28,0.0,0.0,0.0,246,70,116,1,0,1,0,0.0,2
29,0.0,0.0,0.0,246,70,116,1,0,1,0,0.0,2
30,0.0,0.0,0.0,246,70,116,0,0,1,0,0.0,2
31,0.0,0.0,0.0,246,70,116,0,0,1,0,0.0,2
32,0.0,0.0,0.0,246,70,116,1,0,1,0,0.0,2
33,0.0,0.0,0.0,246,70,116,0,0,1,0,0.0,2
34,0.0,0.0,0.0,246,70,116,0,0,1,0,0.0,2
35,0.0,0.0,0.0,244,70,116,0,0,1,0,0.0,2
36,0.0,0.0,0.0,246,70,114,0,0,1,0,0.0,2
37,0.0,0.0,0.0,246,70,116,0,0,1,0,0.0,2
38,0.0,0.0,0.0,246,70,116,0,0,1,0,0.0,2
39,0.0,0.0,0.0,246,70,114,0,0,1,0,0.0,2
40,0.0,0.0,0.0,246,70,114,0,0,1,0,0.0,2
41,0.0,0.0,0.0,246,70,118,0,0,1,0,0.0,2
42,0.0,0.0,0.0,246,70,118,0,0,1,0,0.0,2
43,0.0,0.0,0.0,246,70,118,1,0,1,0,0.0,2
44,0.0,0.0,0.0,246,70,118,0,0,1,0,0.0,2
45,0.0,0.0,0.0,246,70,118,0,0,1,0,0.0,2
46,0.0,0.0,0.0,248,72,122,0,0,1,0,0.0,2
47,0.0,0.0,0.0,248,72,122,1,0,1,0,0.0,2
48,0.0,0.0,0.0,248,72,122,0,0,1,0,0.0,2
49,0.0,0.0,0.0,248,72,120,0,0,1,0,0.0,2
50,0.33,0.18,0.22,248,72,118,0,0,1,0,35.0,2
51,0.29,0.24,0.19,246,70,118,0,0,1,0,30.0,2
52,0.19,0.21,0.26,248,72,120,0,0,1,0,30.0,2
53,0.19,0.13,0.18,246,70,120,0,0,1,0,30.0,2
54,0.22,0.12,0.17,246,70,120,1,0,1,0,40.0,2
55,0.23,0.13,0.16,246,70,120,0,0,1,0,45.0,2
56,0.27,0.14,0.23,246,70,120,0,0,1,0,40.0,2
57,0.19,0.08,0.2,246,70,120,0,0,1,0,55.0,2
58,0.25,0.16,0.19,246,70,118,0,0,1,0,50.0,2
59,0.33,0.24,0.26,246,70,118,0,0,1,0,50.0,2
60,0.16,0.16,0.25,246,70,122,0,0,1,0,45.0,2
61,0.17,0.14,0.26,248,72,124,1,0,1,0,40.0,2
62,0.16,0.18,0.16,248,72,122,0,0,1,0,45.0,2
63,0.2,0.17,0.22,246,72,120,1,0,1,0,50.0,2
64,0.24,0.18,0.13,246,72,120,0,0,1,0,55.0,2
65,0.25,0.16,0.11,246,70,120,0,0,1,0,55.0,2
66,0.25,0.06,0.18,248,72,120,0,0,1,0,50.0,2
67,0.18,0.17,0.13,248,70,120,0,0,1,0,50.0,2
68,0.27,0.19,0.18,248,72,120,0,0,1,0,45.0,2
69,0.24,0.07,0.18,248,72,120,0,0,1,0,45.0,2
70,0.2,0.12,0.26,248,74,128,0,0,1,0,55.0,2
71,0.28,0.13,0.17,248,74,130,1,0,1,0,50.0,2
72,0.11,0.12,0.24,248,74,128,1,0,1,0,55.0,2
73,0.22,0.4,0.3,246,62,122,1,1,1,0,50.0,2
74,0.22,0.75,0.15,248,58,124,1,1,1,0,50.0,2
75,0.26,0.61,0.08,248,58,126,1,1,2,0,50.0,2
76,0.28,0.46,0.08,306,432,126,1,1,2,0,45.0,2
77,0.2,0.59,0.2,310,468,126,1,1,2,0,40.0,2
78,0.19,0.56,0.17,312,478,128,0,1,2,0,35.0,2
79,0.27,0.42,0.08,314,482,134,0,1,2,0,40.0,2
80,0.21,0.46,0.23,314,484,136,0,1,2,0,45.0,2
81,0.17,0.59,0.16,314,484,138,0,1,2,0,50.0,2
82,0.26,0.57,0.18,316,486,140,1,0,2,0,45.0,2
83,0.13,0.56,0.09,314,484,134,1,0,2,0,45.0,2
84,0.17,0.45,0.11,314,484,136,0,0,2,0,45.0,2
85,0.26,0.54,0.17,314,482,136,1,0,2,0,40.0,2
86,0.18,0.53,0.22,314,482,136,1,0,2,0,35.0,2
87,0.11,0.44,0.16,314,480,138,1,0,2,0,35.0,2
88,0.23,0.51,0.2,314,480,140,1,0,2,0,30.0,2
89,0.23,0.43,0.16,314,478,140,1,0,2,0,25.0,2
90,0.23,0.43,0.06,314,478,140,1,0,2,0,35.0,2
91,0.19,0.51,0.18,314,478,140,0,0,2,0,40.0,2
92,0.27,0.48,0.09,310,472,140,1,1,2,0,55.0,2
93,0.24,0.62,0.13,310,472,140,1,1,2,0,60.0,2
94,0.24,0.59,0.18,310,474,138,0,1,2,0,60.0,2
95,0.24,0.64,0.14,310,472,138,1,1,2,0,60.0,2
96,0.24,0.63,0.14,310,472,140,0,1,2,0,60.0,2
97,0.26,0.62,0.24,310,474,142,1,1,2,0,70.0,2
98,0.23,0.67,0.12,310,474,142,1,1,2,0,65.0,2
99,0.23,0.65,0.18,310,470,144,0,0,2,0,75.0,2
100,0.13,0.66,0.16,310,472,142,1,0,2,0,75.0,2
101,0.2,0.57,0.13,310,470,142,1,1,2,0,90.0,2
102,0.27,0.61,0.18,310,470,140,1,0,2,0,90.0,2
103,0.28,0.6,0.26,310,468,140,0,0,2,0,95.0,2
104,0.26,0.71,0.25,310,468,140,1,0,2,0,85.0,2
105,0.2,0.71,0.26,310,470,142,0,0,2,0,80.0,2
106,0.22,0.75,0.06,310,470,144,0,1,2,0,90.0,2
107,0.28,0.69,0.18,310,470,142,1,1,2,0,80.0,2
108,0.23,0.71,0.18,310,468,146,1,1,2,0,90.0,2
109,0.23,0.58,0.12,310,468,144,1,1,2,0,100.0,2
110,0.26,0.65,0.14,310,470,146,1,0,2,0,105.0,2
111,0.32,0.59,0.16,310,468,146,1,0,2,0,115.0,2
112,0.26,0.6,0.13,310,468,146,1,0,2,0,110.0,2
113,0.3,0.66,0.16,310,468,148,0,0,2,0,105.0,2
114,0.3,0.67,0.22,310,466,146,0,0,2,0,105.0,2
115,0.18,0.73,0.18,310,466,146,0,0,2,0,105.0,2
116,0.3,0.78,0.15,310,466,146,0,1,2,0,105.0,2
117,0.27,0.67,0.22,310,466,148,1,1,2,0,110.0,2
118,0.25,0.61,0.2,310,466,148,1,0,2,0,115.0,2
119,0.23,0.81,0.14,310,466,148,1,1,2,0,115.0,2
120,0.23,0.76,0.18,310,466,150,1,1,2,0,110.0,2
121,0.26,0.68,0.23,310,466,148,1,1,1,0,115.0,2
122,0.32,0.7,0.17,310,466,148,1,0,1,0,110.0,2
123,0.22,0.47,0.12,310,466,148,1,0,2,0,110.0,2
124,0.23,0.06,0.2,310,464,150,1,1,2,0,110.0,2
125,0.26,0.31,0.21,310,464,150,1,1,2,0,115.0,2
126,0.18,0.4,0.23,310,464,150,1,1,2,0,120.0,3
127,0.24,0.28,0.12,310,464,150,1,1,2,0,120.0,3
128,0.24,0.51,0.12,310,464,150,1,1,2,0,125.0,3
129,0.21,0.98,0.22,312,486,150,1,1,2,0,135.0,3
130,0.21,1.46,0.14,310,484,150,1,1,2,0,130.0,3
131,0.14,1.36,0.2,310,484,150,1,1,2,0,135.0,3
132,0.18,1.5,0.11,310,476,150,1,1,2,0,135.0,3
133,0.26,1.45,0.28,310,486,146,1,1,2,0,130.0,3
134,0.24,1.84,0.23,310,486,142,1,0,2,0,140.0,3
135,0.13,1.8,0.1,312,486,148,1,0,2,0,140.0,3
136,0.11,2.02,0.15,312,488,150,1,0,2,0,155.0,3
137,0.26,2.1,0.16,314,488,150,0,0,2,0,150.0,3
138,0.1,2.17,0.17,314,488,150,0,0,2,0,145.0,3
139,0.13,2.33,0.16,312,488,150,1,0,2,0,155.0,3
140,0.09,2.54,0.23,314,488,150,1,0,2,0,135.0,3
141,0.14,2.19,0.15,314,488,150,0,0,2,0,135.0,3
142,0.16,2.05,0.21,314,488,152,1,0,2,0,115.0,3
143,0.13,1.87,0.19,312,488,150,1,0,2,0,110.0,3
144,0.2,2.11,0.09,314,488,152,1,0,2,0,110.0,3
145,0.12,1.85,0.15,314,488,154,1,0,2,0,105.0,3
146,0.11,1.8,0.18,314,488,152,1,0,2,0,105.0,3
147,0.12,1.71,0.08,314,488,152,1,0,2,0,95.0,3
148,0.1,1.8,0.17,314,488,152,0,0,2,0,95.0,3
149,0.16,1.83,0.18,314,488,154,1,0,2,0,100.0,3
150,0.21,1.88,0.1,314,488,152,0,0,2,0,110.0,3
151,0.23,1.8,0.09,314,488,156,0,0,2,0,95.0,3
152,0.15,1.87,0.1,314,488,158,1,0,2,0,100.0,3
153,0.14,2.07,0.06,314,488,158,1,0,2,0,100.0,3
154,0.15,1.86,0.04,312,488,158,1,0,2,0,100.0,3
155,0.22,1.9,0.13,314,488,158,0,0,2,0,105.0,3
156,0.18,1.86,0.17,314,486,158,1,1,2,0,105.0,3
157,0.17,1.97,0.12,312,488,160,1,1,2,0,105.0,3
158,0.08,1.9,0.17,312,488,156,1,0,2,0,100.0,3
159,0.08,1.99,0.15,314,488,158,1,0,2,0,90.0,3
160,0.12,2.23,0.13,314,488,156,1,1,2,0,90.0,3
161,0.09,2.38,0.12,312,488,154,0,1,2,0,80.0,3
162,0.18,2.62,0.23,312,480,152,0,0,2,0,80.0,3
163,0.12,2.51,0.12,312,488,154,0,1,2,0,85.0,3
164,0.09,2.34,0.11,312,486,154,1,0,2,0,80.0,3
165,0.19,2.18,0.15,312,480,158,1,1,2,0,75.0,3
166,0.11,2.06,0.21,312,482,158,1,1,2,0,85.0,3
167,0.19,2.06,0.13,312,478,158,1,1,2,0,80.0,3
168,0.18,2.25,0.15,310,484,154,1,1,2,0,80.0,3
169,0.1,2.25,0.16,312,486,156,1,1,2,0,75.0,3
170,0.11,2.48,0.1,312,486,158,1,0,2,0,80.0,3
171,0.1,2.44,0.1,314,488,160,1,0,2,0,75.0,3
172,0.05,2.42,0.11,312,488,160,1,0,2,0,75.0,3
173,0.12,2.43,0.09,310,486,160,1,0,2,0,75.0,3
174,0.17,2.54,0.17,310,484,156,1,0,2,0,80.0,3
175,0.1,2.3,0.11,310,484,154,0,0,2,0,80.0,3
176,0.15,2.2,0.2,312,488,160,1,0,2,0,80.0,3
177,0.11,2.4,0.18,312,488,162,1,0,2,0,75.0,3
178,0.07,2.21,0.13,314,488,164,0,0,2,0,80.0,3
179,0.1,1.96,0.11,312,486,162,0,0,2,0,60.0,3
180,0.14,1.5,0.18,314,488,162,1,0,2,0,60.0,3
181,0.12,1.6,0.08,314,488,160,1,0,2,0,60.0,3
182,0.05,1.55,0.19,312,488,160,0,0,2,0,55.0,3
183,0.06,1.59,0.09,312,488,160,0,0,2,0,55.0,3
184,0.09,1.37,0.14,312,488,160,0,0,2,0,55.0,3
185,0.13,1.19,0.29,310,484,160,0,0,2,0,50.0,3
186,0.21,0.93,0.2,310,484,156,0,0,2,0,45.0,3
187,0.05,0.74,0.12,312,484,158,0,0,2,0,45.0,3
188,0.2,0.85,0.13,312,488,162,1,0,2,0,45.0,3
189,0.15,0.68,0.15,312,486,160,1,0,2,0,35.0,3
190,0.18,0.46,0.14,310,484,160,1,0,2,0,50.0,3
191,0.17,0.73,0.16,312,488,380,1,1,3,1,50.0,3
192,0.1,1.06,0.14,316,490,410,1,1,3,1,60.0,3
193,0.21,1.22,0.2,318,492,428,1,1,3,1,55.0,3
194,0.14,1.0,0.25,318,492,440,1,1,3,1,65.0,3
195,0.18,1.11,0.29,318,488,448,1,1,3,1,65.0,3
196,0.16,1.17,0.18,318,494,448,1,1,3,1,65.0,3
197,0.16,0.99,0.3,318,488,444,1,1,3,1,65.0,3
198,0.14,1.14,0.19,316,488,434,1,1,3,1,60.0,3
199,0.15,1.3,0.2,318,490,434,1,1,2,0,60.0,3
200,0.08,1.21,0.24,318,490,432,1,0,2,0,55.0,3
201,0.08,1.27,0.31,320,488,432,1,1,2,0,60.0,3
202,0.19,1.38,0.23,320,488,446,1,1,3,1,60.0,3
203,0.18,1.13,0.34,320,488,450,1,1,3,1,65.0,3
204,0.23,1.45,0.29,320,488,448,1,1,3,1,60.0,3
205,0.08,1.25,0.27,320,488,448,1,1,3,1,55.0,3
206,0.13,1.23,0.3,320,488,430,1,1,3,1,50.0,3
207,0.15,1.42,0.31,320,486,446,1,1,3,1,45.0,3
208,0.26,1.32,0.17,320,486,444,1,1,3,1,55.0,3
209,0.23,1.36,0.28,320,486,444,1,1,3,1,60.0,3
210,0.2,1.14,0.31,318,486,448,1,1,3,1,60.0,3
211,0.24,0.93,0.26,320,486,446,1,1,3,1,70.0,3
212,0.07,0.7,0.23,320,488,446,1,1,3,1,70.0,3
213,0.19,0.89,0.28,320,486,442,1,0,3,1,70.0,3
214,0.13,0.85,0.29,318,492,442,1,1,3,1,65.0,3
215,0.16,0.86,0.24,320,494,442,1,1,3,1,70.0,3
216,0.31,0.39,0.32,326,498,458,1,1,3,1,175.0,3
217,0.25,0.41,0.39,328,498,458,1,1,3,1,175.0,3
218,0.19,0.23,0.33,326,498,456,1,1,3,1,175.0,3
219,0.36,0.01,0.34,326,498,458,1,1,3,1,185.0,3
220,0.25,-0.07,0.32,326,498,458,1,1,3,1,180.0,3
221,0.28,0.11,0.34,326,494,456,1,1,3,1,180.0,3
222,0.33,0.14,0.37,326,494,456,1,1,3,1,180.0,3
223,0.29,0.23,0.39,324,496,456,1,1,3,1,185.0,3
224,0.18,-0.06,0.33,324,494,456,1,0,3,1,195.0,3
225,0.23,0.06,0.48,324,494,456,1,1,3,1,195.0,3
226,0.16,0.29,0.33,324,498,454,1,1,3,1,190.0,3
227,0.25,0.27,0.43,324,498,456,1,1,3,1,200.0,3
228,0.26,0.09,0.51,324,498,456,1,1,3,1,195.0,3
229,0.2,-0.05,0.44,326,498,456,1,1,3,1,205.0,3
230,0.16,-0.21,0.38,324,498,454,1,0,3,1,205.0,3
231,0.34,-0.19,0.55,324,498,452,1,1,3,1,195.0,3
232,0.26,-0.45,0.45,326,500,452,1,1,3,1,195.0,3
233,0.27,-0.52,0.48,326,504,454,1,0,3,1,205.0,3
234,0.38,-0.59,0.39,328,502,456,1,1,3,1,205.0,3
235,0.24,-0.42,0.49,326,504,442,1,1,3,1,215.0,3
236,0.23,-0.4,0.47,328,504,450,1,1,3,1,205.0,3
237,0.27,-0.34,0.55,326,494,538,1,1,3,1,205.0,3
238,0.25,-0.68,0.5,326,498,534,1,1,3,1,205.0,3
239,0.17,-0.57,0.48,326,496,534,1,1,3,1,205.0,3
240,0.2,-0.57,0.5,326,502,532,1,1,3,1,205.0,3
241,0.26,-0.61,0.55,326,502,534,1,1,3,1,210.0,3
242,0.32,-0.81,0.49,326,504,534,1,1,3,1,205.0,3
243,0.17,-0.86,0.42,328,504,540,1,1,3,1,215.0,3
244,0.23,-0.67,0.5,328,506,522,1,1,3,1,200.0,3
245,0.21,-0.73,0.4,328,506,544,1,1,3,1,205.0,3
246,0.29,-0.72,0.53,330,508,548,1,1,3,1,200.0,3
247,0.27,-0.46,0.4,328,506,544,1,1,3,1,200.0,3
248,0.31,-0.65,0.46,330,508,544,1,1,3,1,205.0,3
249,0.25,-0.81,0.54,328,506,540,0,1,3,1,200.0,3
250,0.3,-0.74,0.56,328,504,536,0,0,3,1,200.0,3
251,0.27,-0.86,0.51,326,504,536,1,0,3,1,200.0,3
252,0.11,-0.95,0.59,328,504,536,1,0,3,1,195.0,3
253,0.18,-0.97,0.48,326,504,532,0,0,3,1,195.0,3
254,0.15,-1.23,0.52,326,504,534,0,0,3,1,205.0,3
255,0.26,-1.01,0.44,328,504,534,0,1,3,1,200.0,3
256,0.22,-1.05,0.42,324,494,508,1,1,3,1,205.0,3
257,0.23,-1.34,0.49,326,506,536,1,1,2,0,210.0,3
258,0.2,-1.31,0.54,328,506,538,1,1,2,0,200.0,3
259,0.15,-1.29,0.51,330,508,540,1,1,2,0,185.0,3
260,0.23,-1.42,0.53,330,508,544,0,1,2,0,180.0,3
261,0.24,-1.31,0.5,330,508,548,1,1,2,0,180.0,3
262,0.19,-1.4,0.55,330,508,560,1,1,2,0,175.0,3
263,0.14,-1.57,0.48,330,508,550,0,1,2,0,170.0,3
264,0.2,-1.55,0.51,330,508,550,1,1,2,0,175.0,3
265,0.26,-1.33,0.5,330,508,552,1,0,2,0,170.0,3
266,0.11,-0.74,0.36,330,508,552,1,1,2,0,60.0,3
267,0.05,-0.69,0.4,330,508,550,0,1,2,0,60.0,3
268,0.12,-0.72,0.46,330,508,556,0,1,2,0,55.0,3
269,0.03,-0.61,0.47,330,508,556,1,1,2,0,45.0,3
270,0.11,-0.77,0.5,330,508,556,1,1,2,0,25.0,3
271,0.14,-0.91,0.49,330,508,500,1,1,2,0,30.0,3
272,0.04,-0.93,0.46,330,508,550,0,1,2,0,35.0,3
273,0.13,-1.16,0.43,330,508,552,0,1,2,0,40.0,3
274,0.14,-0.89,0.42,330,508,558,1,1,3,1,30.0,3
275,0.08,-0.98,0.36,330,512,556,1,1,3,1,30.0,3
276,0.19,-1.05,0.29,330,508,556,1,1,3,1,30.0,3
277,0.13,-1.12,0.37,330,508,552,1,1,3,1,40.0,3
278,0.12,-1.01,0.36,330,514,558,1,1,2,0,45.0,3
279,0.15,0.0,0.4,330,516,558,1,1,2,0,50.0,3
280,0.12,-0.75,0.33,330,512,558,1,1,3,1,50.0,3
281,0.08,-0.8,0.26,330,510,558,0,1,3,1,50.0,3
282,0.15,-0.68,0.23,330,512,558,1,1,3,1,50.0,3
283,0.17,-0.69,0.35,330,508,552,1,1,3,1,35.0,3
284,0.0,-0.64,0.34,330,508,554,1,1,3,1,30.0,3
285,0.13,-0.76,0.22,330,508,550,0,1,3,1,25.0,3
286,0.08,-0.72,0.27,330,508,552,0,1,3,1,25.0,3
287,0.13,-0.81,0.24,330,508,554,0,1,3,1,25.0,3
288,0.15,-0.75,0.28,328,510,556,0,0,3,1,30.0,3
289,0.19,-0.76,0.29,330,510,544,0,0,3,1,35.0,3
290,0.13,-0.77,0.24,330,510,558,1,1,3,1,30.0,3
291,0.14,-0.68,0.25,330,510,554,1,1,3,1,35.0,3
292,0.08,-0.8,0.26,328,510,554,1,1,3,1,45.0,3
293,0.12,-0.64,0.23,328,510,552,1,1,3,1,45.0,3
294,0.07,-0.81,0.15,328,508,550,0,1,3,1,55.0,3
295,0.02,-0.72,0.28,328,508,552,1,1,3,1,50.0,3
296,0.03,-0.76,0.25,328,508,550,1,1,3,1,50.0,3
297,0.08,-0.79,0.27,328,508,548,1,1,3,1,50.0,3
298,0.12,-0.87,0.26,330,508,548,1,1,3,1,50.0,3
299,0.06,-0.78,0.17,330,508,558,1,1,3,1,50.0,3
300,0.03,-0.9,0.14,330,510,550,1,1,3,1,45.0,3
301,0.13,-0.6,0.18,328,508,548,0,0,3,1,45.0,3
302,0.07,-0.59,0.16,330,508,548,0,1,3,1,50.0,3
303,0.1,-0.57,0.12,330,512,554,0,1,3,1,35.0,3
304,0.13,-0.57,0.23,330,514,560,1,0,3,1,35.0,3
305,0.09,-0.65,0.16,330,512,556,1,1,3,1,45.0,3
306,0.08,-0.44,0.27,330,510,508,1,1,3,1,45.0,3
307,0.1,-0.47,0.16,330,512,546,1,1,3,1,40.0,3
308,0.12,-0.36,0.18,330,510,554,1,0,3,1,45.0,3
309,0.16,-0.45,0.19,330,510,556,1,0,3,1,60.0,3
310,0.04,-0.31,0.04,330,510,556,1,0,3,1,65.0,3
311,0.0,-0.52,0.16,330,512,560,0,0,3,1,60.0,3
312,0.15,-0.36,0.09,330,512,558,1,0,3,1,65.0,3
313,0.13,-0.26,0.15,330,512,558,1,0,3,1,65.0,3
314,0.11,-0.17,0.05,330,512,552,0,0,3,1,65.0,3
315,0.01,-0.21,0.19,330,512,558,0,0,3,1,70.0,3
316,0.01,-0.4,0.17,330,512,558,0,0,3,1,60.0,3
317,0.09,-0.43,0.02,330,512,558,1,0,3,1,55.0,3
318,0.06,-0.34,0.05,330,514,560,1,0,3,1,60.0,3
319,0.14,-0.29,0.17,330,514,556,1,0,3,1,70.0,3
320,0.11,-0.28,0.03,330,512,538,1,1,3,1,100.0,3
321,0.08,-0.31,0.0,330,512,560,1,1,3,1,95.0,3
322,0.13,-0.18,0.11,330,510,550,0,1,3,1,95.0,3
323,0.09,-0.03,0.07,330,510,554,0,0,3,1,85.0,3
324,0.11,-0.18,0.05,330,510,554,0,0,3,1,90.0,3
325,0.07,-0.1,0.09,330,510,556,0,0,3,1,90.0,3
326,0.05,-0.02,0.21,330,510,560,0,1,3,1,95.0,3
327,0.17,0.0,0.02,330,510,556,1,1,3,1,75.0,3
328,0.19,-0.01,0.07,330,510,538,1,1,3,1,75.0,3
329,0.2,0.0,0.12,326,508,536,1,1,3,1,75.0,3
330,0.14,-0.15,0.16,328,508,546,1,1,3,1,70.0,3
331,0.12,-0.17,0.19,326,504,544,1,1,3,1,80.0,3
332,0.12,-0.18,0.16,326,508,548,0,1,3,1,85.0,3
333,0.05,0.0,0.02,328,504,546,0,0,3,1,90.0,3
334,0.15,-0.01,0.13,326,506,544,1,0,3,1,85.0,3
335,0.15,-0.09,0.08,328,502,546,1,0,3,1,80.0,3
336,0.15,-0.01,0.11,326,502,544,0,0,3,1,80.0,3
337,0.16,0.2,0.11,328,502,542,1,1,3,1,85.0,3
338,0.1,0.25,0.07,328,502,538,0,1,3,1,90.0,3
339,0.14,0.3,0.14,328,502,536,1,1,3,1,85.0,3
340,0.11,0.24,0.15,326,506,534,1,1,3,1,85.0,3
341,0.14,0.11,0.17,326,504,532,1,1,3,1,75.0,3
342,0.05,0.4,0.14,324,498,530,1,1,3,1,60.0,3
343,0.08,0.24,0.2,322,502,532,1,1,3,1,50.0,3
344,0.15,0.11,0.25,316,498,532,1,0,3,1,40.0,3
345,0.2,0.27,0.08,320,494,532,1,1,3,1,40.0,3
346,0.09,0.29,0.1,320,494,194,1,1,0,0,40.0,3
347,0.09,-0.02,0.07,38,44,196,1,1,0,0,50.0,3
348,0.04,-0.07,0.14,38,44,194,0,1,0,0,60.0,3
349,0.15,-0.29,0.0,38,44,196,0,0,0,0,55.0,3
350,0.2,-0.15,0.12,38,44,202,0,0,0,0,60.0,3
351,-0.04,-0.33,0.15,38,46,202,0,0,0,0,60.0,3
352,0.21,-0.4,0.0,38,46,200,0,0,0,0,55.0,3
353,0.04,-0.39,0.08,38,46,198,0,0,0,0,60.0,3
354,0.05,-0.34,0.04,38,44,196,0,0,0,0,55.0,3
355,0.04,-0.34,0.11,38,44,192,0,0,0,0,45.0,3
356,0.18,-0.55,0.01,36,44,194,0,0,0,0,45.0,3
357,0.05,-0.53,0.01,36,44,192,0,0,0,0,40.0,3
358,-0.03,-0.57,0.04,36,44,192,0,0,0,0,30.0,3
359,0.01,-0.65,0.03,36,44,190,0,0,0,0,30.0,3
360,0.07,-0.7,0.04,36,44,196,0,0,0,0,30.0,3
361,0.0,-0.52,-0.01,38,44,198,0,0,0,0,30.0,3
362,-0.03,-0.59,-0.03,38,46,200,0,0,0,0,40.0,3
363,-0.01,-0.62,0.0,38,46,202,0,0,0,0,40.0,3
364,-0.01,-0.64,0.0,38,46,200,0,0,0,0,40.0,3
365,0.03,-0.62,0.01,38,46,200,0,0,0,0,35.0,3
366,0.01,-0.58,-0.04,38,46,196,0,0,0,0,35.0,3
367,0.04,-0.51,0.01,38,44,196,0,0,0,0,35.0,3
368,-0.05,-0.61,0.02,38,46,198,0,0,0,0,35.0,3
369,-0.02,-0.72,-0.07,38,46,198,0,0,0,0,25.0,3
370,-0.07,-0.64,0.03,38,46,198,0,0,0,0,5.0,3
371,-0.11,-0.64,0.01,38,44,198,0,0,0,0,5.0,3
372,-0.05,-0.74,-0.08,36,44,198,0,1,0,0,5.0,3
373,-0.13,-0.82,-0.13,36,44,196,0,0,0,0,5.0,3
374,-0.15,-0.58,-0.01,36,44,192,0,0,0,0,-15.0,3
375,-0.07,-0.67,-0.07,36,44,192,0,0,0,0,-30.0,3
376,-0.04,-0.82,-0.1,36,44,190,0,0,0,0,-45.0,3
377,-0.23,-0.86,-0.03,36,44,192,0,0,0,0,-50.0,3
378,-0.13,-0.84,-0.1,36,44,196,0,0,0,0,-65.0,3
379,-0.15,-0.77,-0.21,36,44,198,0,0,0,0,-80.0,3
380,-0.12,-0.86,-0.21,38,46,198,0,0,0,0,-85.0,3
381,-0.1,-0.89,-0.25,38,46,198,0,0,0,0,-100.0,3
382,-0.14,-0.77,-0.2,38,46,198,0,0,0,0,-110.0,3
383,-0.06,-0.9,-0.09,38,46,198,0,0,0,0,-115.0,3
384,-0.11,-0.97,-0.15,36,46,198,0,0,0,0,-115.0,3
385,-0.07,-0.83,-0.13,36,44,194,0,0,0,0,-115.0,3
386,-0.17,-0.87,-0.19,36,44,192,0,0,0,0,-105.0,3
387,-0.2,-0.96,-0.22,36,42,188,0,0,0,0,-115.0,3
388,-0.18,-0.9,-0.11,34,42,186,0,0,0,0,-125.0,3
389,-0.22,-1.12,-0.18,34,42,184,0,0,0,0,-125.0,3
390,-0.14,-1.02,-0.22,34,40,184,0,0,0,0,-130.0,3
391,-0.2,-0.98,-0.3,34,40,184,0,0,0,0,-130.0,3
392,-0.15,-1.15,-0.22,34,44,190,0,0,0,0,-125.0,3
393,-0.15,-1.1,-0.24,34,42,190,0,0,0,0,-120.0,3
394,-0.18,-0.95,-0.27,34,42,188,0,0,0,0,-120.0,3
395,-0.24,-1.17,-0.18,34,42,186,0,0,0,0,-120.0,3
396,-0.14,-1.14,-0.36,34,42,190,0,0,0,0,-120.0,3
397,-0.23,-0.78,-0.24,34,42,188,0,0,0,0,-130.0,3
398,-0.23,-0.75,-0.35,34,42,186,0,0,0,0,-140.0,3
399,-0.23,-0.73,-0.18,34,42,188,0,0,0,0,-145.0,3
